link,date,title
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-03-de-noviembre-de-2025?idiom=es,2025-11-03,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 03 de noviembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-dia-de-muertos-dedicado-a-las-ancestras-de-mexico?idiom=es,2025-11-01,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo. Día de Muertos, dedicado a las ancestras de México"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-31-de-octubre-de-2025?idiom=es,2025-10-31,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 31 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-avances-en-atencion-a-emergencia-por-lluvias?idiom=es,2025-10-30,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo. Avances en atención a emergencia por lluvias"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-30-de-octubre-de-2025?idiom=es,2025-10-30,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 30 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-29-de-octubre-de-2025?idiom=es,2025-10-29,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 29 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-28-de-octubre-de-2025?idiom=es,2025-10-28,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 28 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-27-de-octubre-de-2025?idiom=es,2025-10-27,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 27 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-recorrido-a-bordo-del-tren-mexico-toluca-el-insurgente?idiom=es,2025-10-26,Versión estenográfica. Recorrido a bordo del Tren México-Toluca “El Insurgente”
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-411406?idiom=es,2025-10-26,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-inauguracion-de-la-universidad-nacional-rosario-castellanos-unrc-plantel-chalco?idiom=es,2025-10-25,Versión estenográfica. Inauguración de la Universidad Nacional Rosario Castellanos (UNRC) Plantel Chalco
https://www.gob.mx//presidencia/es/articulos/version-estenografica-supervision-del-tren-mexico-pachuca?idiom=es,2025-10-24,Versión estenográfica. Supervisión del Tren México-Pachuca
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-24-de-octubre-de-2025?idiom=es,2025-10-24,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 24 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-23-de-octubre-de-2025?idiom=es,2025-10-23,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 23 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-22-de-octubre-de-2025?idiom=es,2025-10-22,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 22 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-avance-en-la-atencion-a-emergencia-por-lluvias?idiom=es,2025-10-21,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo. Avance en la atención a emergencia por lluvias"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-21-de-octubre-de-2025?idiom=es,2025-10-21,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 21 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-20-de-octubre-de-2025?idiom=es,2025-10-20,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 20 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-monitoreo-del-rio-panuco?idiom=es,2025-10-18,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo. Monitoreo del río Pánuco"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-17-de-octubre-de-2025?idiom=es,2025-10-17,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 17 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-resultado-de-esfuerzos-en-beneficio-de-cinco-estados?idiom=es,2025-10-16,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo. Resultado de esfuerzos en beneficio de cinco estados"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-16-de-octubre-de-2025?idiom=es,2025-10-16,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 16 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-15-de-octubre-de-2025?idiom=es,2025-10-15,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 15 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-14-de-octubre-de-2025?idiom=es,2025-10-14,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 14 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-13-de-octubre-de-2025?idiom=es,2025-10-13,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 13 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-desde-el-centro-de-comando-permanente-en-veracruz?idiom=es,2025-10-12,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo, desde el Centro de Comando Permanente en Veracruz"
